#k/n	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2	2,7,34,200,1318,9354,69864,541323,4310950,35066384,290081932,2432766082,20635672664,176727482860,1526000459400,13270616752680,116124930068670,1021736927603190,9033726534916920,80220639767921376,715166816624282880,6398357633173871616,57428785620221435904,516974425087477350400,4666382754681433620480,42225022038270311137280,382961224885902522712064,3480659064475396389994496,31697440176449500053766144,289190470612823408717594624,2642943002182554467036037120,24192888804558689876542750720
3	3,19,159,1565,17022,197928,2413494,30490089,395828145,5250493688,70863932052,970121212741,13439019867456,188038364992270,2653560128625570,37723174042204664,539726553801797696,7765849268430279680,112298666581144600576,1631161087938536144896,23787999378187789271040,348168144756409192415232,5112638051567688212283392,75300906756689135814049792,1112102506814888187046920192,16465792176088777748096483328,244359193971313183918609399808,3634189947335927015760692510720,54156710494134373335391004524544,808541873811212511280563958579200,12092171347100215635986543403859968,181137696615083598197661735187382272
4	4,39,495,7235,115303,1948791,34379505,626684162,11722058693,223870302588,4349161774626,85701267415112,1709101664822416,34432888701965456,699810795294491008,14331183304458657792,295434131968070516736,6125911207605272838144,127680054133385446031360,2673463200766218448404480,56210503117530707441745920,1186249964225719035194507264,25118776010501766210532671488,533522448138026966110445764608,11363818844233223472888709906432,242668229818679142233162490314752,5194337629894515696427187486851072,111428898353294348291445627178450944,2395225166954361903821583456342638592,51583828426719943091709448771860430848,1112868333845458756830034755462818168832,24048434500897835578949841517055978766336
5	5,69,1230,24843,541315,12426996,296546600,7292489761,183702242491,4719659859582,123261298705663,3263950145153931,87452457544863584,2366980142343756800,64628573978046898176,1778185743733578268672,49254755849062500532224,1372455474283176123170816,38445038179978007241818112,1082006602354622370064367616,30581439320386037073995366400,867649402797158045198942470144,24702059758880739785306693173248,705487191588569242276231368409088,20206625544586702969430036388511744,580287527148162762184861991420559360,16704975185495391534280671105264910336,481970493162378927118499001480582791168,13934613678796348525857287349853499686912,403649916148456566351896048713612195266560,11713657649588730827032795640924095452807168,340491280484832352825363985016282029530021888
6	6,111,2638,70134,1994809,59462571,1835997489,58278742279,1891787994878,62557336977750,2101089191415004,71509580897594448,2461672924215271424,85582516678667943936,3001132225059008020480,106041803378302465867776,3772063601993299685015552,134979134817454621756227584,4855825054433814339565649920,175521442944216639684216881152,6371805481439319014673093754880,232210364708637686970035573096448,8492429016874910906204749375209472,311585574411147280057864402862342144,11465637593409381834071076578260942848,423047358712591586165809088198697025536,15647906163563232593946049213040408133632,580118777378333724046733021777108123254784,21552469464771378722982508995123368813395968,802288131872687969642017257970572068871208960,29919717708219825105792345826686893850705788928,1117699145259574375788131632888811612215346987008
7	7,167,5095,172119,6179243,231489644,8956225053,355474713611,14406067627611,594059414851990,24860345232271320,1053576579506294272,45141103805476192256,1952643599051621400576,85176099794320871129088,3743134805937873085267968,165584198789830844493070336,7368218613414211382591619072,329612202559511080736227590144,14815403278274558411223280386048,668797873099595019216944417996800,30309182139480179606339027004817408,1378476510679024337806078313467215872,62897924051527328118209554761293758464,2878501972287161449032206046178081505280,132094548054231033193484772470561729150976,6077120333261957740593633735788802540044288,280234658988431855839055159329632043938086912,12950369790740690073618099538170015008262455296,599669133762424910761015742321987111707662614528,27819544756703603573292238984468877269329818681344,1292833579095438253458904025249705845782457675153408
8	8,239,9095,380041,16784906,770789290,36463025915,1766270024167,87239203973345,4379803032658805,222965350952717728,11487617401804552192,598081660613545951232,31425028029753682034688,1664613669509204927315968,88814414164015172045242368,4769278472243853122045214720,257593437967555258898930728960,13985624978993360411943847854080,762918245636862120174867542179840,41795942976061022280999194482180096,2298709096579812552817164942521139200,126876406597831636391354048267904090112,7025780997657700989139764247580842655744,390220033828725978412387195164381503553536,21733144698310208518100062113953886427414528,1213504429042763654591464315215697232177135616,67917734806154252011027029087749497352265662464,3809549728686943096333488578929316046414970617856,214114294880575317733593120768908403605061651922944,12056983002067544810920156927208785158610897942347776,680139089161095774983177288548803362088531431142719488
9	9,329,15266,772425,41123252,2269498718,128745166322,7466498109171,440976444380641,26447421661311540,1607169635750810624,98784579979123326976,6132644010184880947200,384084819441363592413184,24243744254503939762814976,1541000791204915413606465536,98565794464563604055356604416,6340182881593485314073152192512,409917544671980866714501637996544,26626037060854094974925553377738752,1736811060242254789745246957908000768,113730312553718171903935601949638918144,7473722524896098035506950495878030295040,492730738841081088057520407103046795919360,32582357679247025246787856128476661418033152,2160505413436200831849630332042670873807683584,143627703654036507118172712166005559948648382464,9570839092321510714111093423641685786466629713920,639171724219302647761666486685351321219742218321920,42773480769239507481353159597844824673483215022850048,2867880527924736743771421519417753644943044200642904064,192629299296641721433710493837685792467775257648572661760
10	10,439,24386,1468484,92692248,6049277648,405047662940,27687049723455,1925218821976411,135823112480185088,9702285121067202560,700613581754727661568,51075881162504344174592,3755026566400621598998528,278145964433526223840215040,20742326728571554317859815424,1556242370724695798559730040832,117403492823337591486403548545024,8901226310467817351102000000925696,677940382115694616492728634778320896,51848520294644642328040478227556204544,3980466796543915130598435751861520695296,306655294301272563682331193158262813884416,23700964512529033888219684293895372213846016,1837271289970235443690219121785924805246058496,142815612549877912417740568334768384236515753984,11129767625068086297635317272141614212055333601280,869412225454527008080424764232915122890276692033536,68064902568817264741895524564573329520805815542349824,5339661172827288638859410773925105705046615959871160320,419699196780927925840332966423494699056636078845400711168,33047812649927669188263890493051978306505242526779397111808
11	11,571,37399,2642153,195023084,14850021304,1158237289142,92106593555283,7443689091858684,609863642640386816,50559847167014633472,4235018233018839465984,357973057672238141014016,30503568595375901282140160,2618097299569408010826547200,226172742409218013404600467456,19653624732669870711796534345728,1716948976259726386216228706320384,150722630410339829710757550002012160,13289988663005878774610927866496417792,1176617770994109004690680874596231544832,104560627025697753603637162930841193545728,9323855106293147801351984935129670704168960,834071289853120587066578814239713762553626624,74832175624874813338935677510732459394182676480,6732221081812239130138888847046228056743226638336,607196473204286103423374063376629050368126990942208,54893996345207605670630664113282230747591821792116736,4973658550622087043567300841686384872926984558025375744,451564207913081622542273974183690164203065529760674217984,41076921294634696256266062567648756232107768280231595474944,3743332507587897205738833582865441426756978320014702903558144
