k	n	TimedTransfer UntimedTransfer TimedNoTransfer UntimedNoTransfer
10	20	3126339763435842200045479663219985333878784 3330476802262882493468540971886949714362368 24043304774798224517523748862839226368 13289988663005878774610927866496417792
10	21	506592448413623724791073341408225118979620864 568155950616160529084535460523553896605417472 2191942417851320699479438911590860062720 1176617770994109004690680874596231544832
10	22	82311957992010322221775509001129172144394076160 97220617715495169272528381568599738424760467456 200578257142440684795398111543826772393984 104560627025697753603637162930841193545728
10	23	13408356313134380398316762919065162246861560479744 16682583064142542723755247910432219282144550191104 18417524606934953168051051408441681029103616 9323855106293147801351984935129670704168960
10	24	2189424656136938008778901688683190629602267077017600 2869994191062784447344415616984178403334685343088640 1696514005798037204888854333960156311455793152 834071289853120587066578814239713762553626624
10	25	358315557476459068626109422720144138995489229433208832 494905503859988086332323481927869197968998785070661632 156732817159121826568900806351223334078750130176 74832175624874813338935677510732459394182676480
10	26	58766120613095184956072107552071942782728224593508564992 85527951096043575395800379341615672340509845473397309440 14519318663327950339825351271919397793708845826048 6732221081812239130138888847046228056743226638336
10	27	9657464398644254712361674041912123561839292090806299525120 14810444437676088160384517317168215958522313819756343328768 1348443124728774577014512897157573647828257505017856 607196473204286103423374063376629050368126990942208
10	28	1590109415026610503273063815309880178088413913832193177681920 2569446550467284603818801939957459824406080543195625794043904 125528742770187268810823426938084328090488581849612288 54893996345207605670630664113282230747591821792116736
10	29	262286143460982432888132072359049441576065302286240126313955328 446546084819790043455279553649289676959876710325100063177572352 11711399734001010806987362264821294434129196049951096832 4973658550622087043567300841686384872926984558025375744
10	30	43337911838176958379062731203326694949369863059541049109160919040 77731589424349519673017235003895608443736613490608196786107449344 1094880096684191992733088378051961660470638077085975838720 451564207913081622542273974183690164203065529760674217984
